index,pred,Preal,Prev
2020-01-08 21:00:00,1310.5312,1312.87,1250.9555555555555
2020-01-08 22:00:00,1328.3058,1313.62,1250.601111111111
2020-01-08 23:00:00,1313.1086,1314.7000000000005,1238.7311111111112
2020-01-09 00:00:00,1269.5121,1281.55,1210.6866666666667
2020-01-09 01:00:00,1241.9633,1265.1700000000003,1187.3200000000004
2020-01-09 02:00:00,1227.4652,1217.6899999999996,1152.626666666667
2020-01-09 03:00:00,1187.0435,1181.79,1119.5866666666668
2020-01-09 04:00:00,1153.1187,1167.34,1102.158888888889
2020-01-09 05:00:00,1139.7753,1170.06,1079.8866666666668
2020-01-09 06:00:00,1088.6548,1092.0,1024.871111111111
2020-01-09 07:00:00,924.53217,986.38,986.38
2020-01-09 08:00:00,995.6272,996.96,996.96
2020-01-09 09:00:00,1026.878,1047.06,1047.06
2020-01-09 10:00:00,1058.5262,1080.64,1080.64
2020-01-09 11:00:00,1084.8812,1140.0,1140.0
2020-01-09 12:00:00,1128.0887,1152.0,1152.0
2020-01-09 13:00:00,1135.9215,1168.0,1168.0
2020-01-09 14:00:00,1158.1761,1139.0,1139.0
2020-01-09 15:00:00,1144.5122,1154.0,1203.6492428711897
2020-01-09 16:00:00,1146.7875,1139.0,1178.8809046214358
2020-01-09 17:00:00,1087.7203,1116.0,1127.6589773844642
2020-01-09 18:00:00,1094.3729,1079.4,1086.232777777778
2020-01-09 19:00:00,1300.2668,1289.3,1300.8038888888889
2020-01-09 20:00:00,1326.5287,1327.3,1330.0983333333334
2020-01-09 21:00:00,1360.0006,1362.6,1371.8805614035089
2020-01-09 22:00:00,1385.9698,1383.3,1366.0739649122806
2020-01-09 23:00:00,1378.2123,1361.7999999999995,1364.116350877193
2020-01-10 00:00:00,1322.907,1358.3,1342.341192982456
2020-01-10 01:00:00,1312.9615,1313.5,1319.4331228070178
2020-01-10 02:00:00,1271.894,1292.9,1270.1980350877193
2020-01-10 03:00:00,1256.42,1263.6999999999996,1232.8849411162316
2020-01-10 04:00:00,1228.7048,1242.7,1286.2322068257636
2020-01-10 05:00:00,1214.12,1223.3,1205.7947066666668
2020-01-10 06:00:00,1151.1747,1170.9,1168.918039517578
2020-01-10 07:00:00,997.8392,1046.0,1005.28
2020-01-10 08:00:00,1061.5212,1057.3,1021.6655555555556
2020-01-10 09:00:00,1086.4772,1113.3,1074.03
2020-01-10 10:00:00,1124.059,1172.6,1093.98
2020-01-10 11:00:00,1172.5615,1162.1999999999996,1123.6633333333332
2020-01-10 12:00:00,1162.8752,1165.2,1123.5777777777778
2020-01-10 13:00:00,1156.402,1125.9,1113.9733333333334
2020-01-10 14:00:00,1142.159,1176.7,1144.2388888888886
2020-01-10 15:00:00,1180.9552,1213.4,1165.7088888888886
2020-01-10 16:00:00,1202.4304,1159.2,1162.358888888889
2020-01-10 17:00:00,1121.749,1109.5600000000004,1104.6800000000003
2020-01-10 18:00:00,1096.8152,1066.0,1104.0438888888891
2020-01-10 19:00:00,1303.5066,1271.0,1288.0761111111112
2020-01-10 20:00:00,1324.8867,1330.0,1343.7577777777776
2020-01-10 21:00:00,1369.495,1338.0,1363.9305555555557
2020-01-10 22:00:00,1368.1908,1368.0,1365.3566666666668
2020-01-10 23:00:00,1373.576,1380.0,1339.6144444444444
2020-01-11 00:00:00,1356.528,1354.0,1314.9005555555557
2020-01-11 01:00:00,1318.3735,1344.0,1318.7983333333334
2020-01-11 02:00:00,1309.742,1320.0,1270.823888888889
2020-01-11 03:00:00,1281.4579,1291.0,1243.6294444444447
2020-01-11 04:00:00,1256.9658,1265.0,1219.1544444444448
2020-01-11 05:00:00,1234.8893,1252.0,1208.8855555555558
2020-01-11 06:00:00,1195.8809,1221.8,1156.8833333333334
2020-01-11 07:00:00,1051.3354,1017.93,1005.0
2020-01-11 08:00:00,1041.2997,963.73,1021.6655555555556
2020-01-11 09:00:00,983.6907,996.45,1074.03
2020-01-11 10:00:00,1009.6057,1018.65,1093.98
2020-01-11 11:00:00,1039.8484,1016.94,1123.6633333333332
2020-01-11 12:00:00,1026.5853,1039.9999999999998,1123.5777777777778
2020-01-11 13:00:00,1034.0615,1032.65,1113.9733333333334
2020-01-11 14:00:00,1034.1249,1046.38,1144.2388888888886
2020-01-11 15:00:00,1043.8173,1023.1799999999996,1165.7088888888886
2020-01-11 16:00:00,1016.1041,1008.75,1162.358888888889
2020-01-11 17:00:00,984.4203,1008.96,1104.6800000000003
2020-01-11 18:00:00,1001.56366,1013.6,1104.0438888888891
2020-01-11 19:00:00,1254.3862,1231.3,1288.0761111111112
2020-01-11 20:00:00,1290.2872,1265.8,1343.7577777777776
2020-01-11 21:00:00,1303.2554,1306.1,1363.9305555555557
2020-01-11 22:00:00,1331.7648,1331.5,1365.3566666666668
2020-01-11 23:00:00,1336.3522,1343.0,1339.6144444444444
2020-01-12 00:00:00,1323.9655,1310.4,1314.9005555555557
2020-01-12 01:00:00,1296.8293,1297.1,1318.7983333333334
2020-01-12 02:00:00,1268.1302,1269.3000000000004,1270.823888888889
2020-01-12 03:00:00,1243.9207,1251.7,1243.6294444444447
2020-01-12 04:00:00,1227.3298,1217.5,1219.1544444444448
2020-01-12 05:00:00,1195.8917,1186.8,1208.8855555555558
2020-01-12 06:00:00,1171.7408,1142.6,1156.8833333333334
2020-01-12 07:00:00,978.3323,853.3000000000002,1002.965555555556
2020-01-12 08:00:00,822.47107,868.7,912.6
2020-01-12 09:00:00,852.72394,855.1,912.295
2020-01-12 10:00:00,845.65594,872.4999999999999,907.2016666666666
2020-01-12 11:00:00,867.58716,883.5,895.2449999999999
2020-01-12 12:00:00,895.7413,887.6,909.795
2020-01-12 13:00:00,893.9666,918.9,943.3095180833332
